"黄埔区在册幼儿园名单一览表
（数据截止2024年12月31日）",,,,,,,,,,,,
序号,幼儿园名称,公办幼儿园注册证号或民办幼儿园办学许可证号,办园性质,是否普惠,办园规模（班）,幼儿园地址,是否配齐配足教职工,保教费收费标准（元/月/生）,幼儿园联系电话,收费举报电话,,
1,广州市黄埔区育蕾幼儿园,0112010001,教育部门办园,是,14,广州市黄埔区黄埔东路188号大院27号,是,995,82594883,82113092,,
2,广州市黄埔区育蕾幼儿园（金碧分园）,0112010001,教育部门办园,是,6,广州市黄埔区骏雅北街2号,是,823,32399103,82113092,,
3,广州市黄埔区育蕾幼儿园（金港分园）,0112010001,教育部门办园,是,5,广州市黄埔区荔香路38号大院22号,是,823,82181622,82113092,,
4,广州开发区第一幼儿园（西区园）,0112010002,教育部门办园,是,10,广州市黄埔区夏港街青年路东园六街2号,是,995,82111392,82113092,,
5,广州开发区第一幼儿园（中心园）,0112010002,教育部门办园,是,24,广州市黄埔区萝岗街开萝大道33号,是,995,32039290,82113092,,
6,广州开发区第二幼儿园（西区园）,0112010003,教育部门办园,是,10,广州市黄埔区创业路普晖五街48号,是,995,82113645,82113092,,
7,广州开发区第二幼儿园（中心园）,0112010003,教育部门办园,是,19,广州市黄埔区贤江路128号,是,823,32197984,82113092,,
8,广州市黄埔区东荟幼儿园,0112010004,教育部门办园,是,12,广州市黄埔区开泰大道212号,是,995,32038990,82113092,,
9,广州市黄埔区龙光幼儿园,0112010005,教育部门办园,是,13,广州市黄埔区广汕路科景路7号,是,995,82018072,82113092,,
10,广州市黄埔区天鹿幼儿园,112010006,教育部门办园,是,6,广州市黄埔区天鹿南路天鹿花园二街1号,是,995,37308821,82113092,,
11,广州市黄埔区香雪山幼儿园,0112010007,教育部门办园,是,9,广州市黄埔区开创大道香雪二路,是,995,32365681,82113092,,
12,广州市黄埔区香雪幼儿园,0112010008,教育部门办园,是,9,广州市黄埔区萝岗街政园路23号,是,995,82265683,82113092,,
13,广州市黄埔区玉城幼儿园,0112010009,教育部门办园,是,16,广州市黄埔区云埔五路31号,是,995,82002441,82113092,,
14,广州市黄埔区玉城幼儿园（南园区）,0112010009,教育部门办园,是,18,广州市黄埔区云埔街云埔四路77-79号,是,823,82012596,82113092,,
15,北京师范大学广州实验学校附属幼儿园,0112010010,教育部门办园,是,18,广州市黄埔区长岭街北师大慧岭路,是,823,29097309,82113092,,
16,广州科学城第一幼儿园,0112010011,教育部门办园,是,18,广州市黄埔区联和街道黄陂一路,是,823,82513390,82113092,,
17,广州市黄埔区凤凰湖幼儿园,0112010012,教育部门办园,是,12,广州市黄埔区龙湖街德铭路23号,是,823,89850552,82113092,,
18,广州市黄埔区九龙中心幼儿园,0112010013,教育部门办园,是,18,广州市黄埔区新龙镇镇龙大道531号,是,823,13143758857,82113092,,
19,广州市黄埔区怡蕾幼儿园,0112010014,教育部门办园,是,12,广州市黄埔区大沙街道瑞东新街2号,是,823,29857351,82113092,,
20,广州幼儿师范高等专科学校附属黄埔幼儿园,0112010015,教育部门办园,是,18,广州市黄埔区开源大道刘村新村内,是,823,31800162,82113092,,
21,广州知识城第一实验幼儿园,0112010016,教育部门办园,是,20,广州市黄埔区龙湖街九龙新城九龙大道以东,是,823,89855689,82113092,,
22,广东工程职业技术学院附属黄埔区泓贝贝幼儿园,0112020001,事业单位办园,是,17,广州市黄埔区黄埔东路与丹水坑交接万科尚城翠宇五街2号,是,823,31608673,82113092,,
23,广州市黄埔职业技术学校附属东港幼儿园,0112020002,事业单位办园,是,6,广州市黄埔区广新路850号,是,823,32365123,82113092,,
24,广州市黄埔姬堂实验幼儿园,0112030001,集体办园,是,12,广州市黄埔区姬堂长德街21号,是,823,82399720,82113092,,
25,广州市黄埔区南村幼儿园,0112030002,集体办园,是,5,广州市黄埔区云埔街道新南街三号,是,823,82264070,82113092,,
26,广州市黄埔区儿童福利会幼儿园,0112030003,集体办园,是,7,广州市黄埔区荔园小区荔香二街4号,是,995,82273148,82113092,,
27,广州市黄埔区茅岗幼儿园,0112030004,集体办园,是,8,广州市黄埔区蟹山西路8号,是,823,32388763,82113092,,
